Date,Spring,Mg,Sr,K,Na,Ca,Cl,SO4,HCO3,pH,δ18O,δ2H,87Sr/86Sr,H3 (TU),H3 ± 2σ
2019-06-05,UH,30.5,0.9,7.1,3.6,155.3,8.2,345.2,137.4,7.40,-21.00,-159.83,0.708544,5.0,0.5
2019-07-12,UH,39.7,1.4,3.6,5.2,210.9,5.5,516.6,142.9,7.20,-20.59,-157.82,0.70851,2.9,0.4
2019-08-07,UH,44.9,1.8,4.6,6.1,255.4,7.4,613.2,138.9,6.95,-20.78,-158.47,0.708504,1.6,0.3
2019-09-06,UH,41.0,1.5,5.1,5.4,217.7,6.3,541.4,144.9,7.27,-20.56,-157.77,0.708506,3.7,0.4
2019-10-08,UH,44.7,1.7,6.0,6.2,255.4,7.3,627.1,134.3,7.06,,,0.708499,2.0,0.3
2019-11-07,UH,45.1,1.8,5.2,5.7,254.5,6.6,682.6,131.0,7.02,-20.62,-158.44,0.708494,2.1,0.3
2019-12-05,UH,48.2,1.9,4.5,6.5,261.6,6.2,684.4,134.4,7.10,-20.63,-157.71,0.708496,1.7,0.4
2020-01-21,UH,47.5,1.8,4.4,6.4,250.7,6.6,687.1,131.4,7.36,-20.91,-157.90,0.7085,2.1,0.3
2020-02-06,UH,47.8,1.8,4.7,6.3,248.2,6.2,684.1,127.4,7.09,-20.80,-158.08,0.708496,1.6,0.3
2020-03-05,UH,49.0,1.8,4.4,6.4,252.5,6.0,682.6,126.0,7.26,-20.54,-157.72,0.708499,2.0,0.3
2019-04-08,KD,42.9,1.6,4.4,6.4,233.5,7.0,626.2,145.2,7.16,-20.47,-158.82,,,
2019-05-07,KD,44.3,1.6,4.0,5.3,242.9,6.7,577.9,142.2,7.80,-20.55,-158.73,,,
2019-06-05,KD,30.8,0.9,2.5,3.9,151.4,5.0,305.0,148.9,7.09,-20.57,-159.08,,5.6,0.5
2019-07-12,KD,38.1,1.3,3.4,5.1,195.9,5.9,466.1,169.0,8.09,-20.27,-157.21,,,
2019-08-07,KD,43.2,1.5,3.7,5.2,237.8,6.5,589.9,142.7,7.04,-20.86,-158.16,,1.9,0.3
2019-09-06,KD,39.0,1.4,3.8,5.1,208.6,6.5,504.8,151.0,7.05,-20.64,-156.85,,,
2019-10-08,KD,44.0,1.6,4.1,5.7,238.2,6.8,609.1,142.4,6.96,,,,,
2019-11-07,KD,43.3,1.7,4.2,4.7,238.2,6.6,633.3,137.7,7.11,-20.43,-157.54,,,
2019-12-05,KD,46.2,1.8,4.3,4.9,252.1,6.6,656.0,135.3,7.10,-20.72,-158.76,,,
2020-01-21,KD,45.5,1.8,4.5,4.8,251.8,6.7,665.8,132.5,7.17,-20.65,-158.33,,1.7,0.3
2020-02-06,KD,48.2,1.9,4.7,5.3,266.7,6.8,668.4,132.8,7.04,-20.51,-157.53,,,
2020-03-05,KD,47.1,1.9,4.5,6.7,258.9,7.0,669.4,119.4,7.13,-20.62,-158.00,,,
2019-04-08,UM,47.8,1.9,4.9,6.5,260.3,6.4,714.9,158.6,7.29,-20.64,-159.01,,,
2019-05-07,UM,50.5,2.1,5.2,7.1,275.5,6.3,700.5,137.2,7.77,-21.05,-158.99,,,
2019-06-05,UM,51.1,2.0,4.6,6.1,273.8,6.0,683.6,132.8,7.12,-20.48,-158.29,,2.2,0.3
2019-07-12,UM,51.1,1.9,4.8,6.0,266.8,6.2,661.4,137.0,6.67,-21.14,-159.04,,2.0,0.6
2019-08-07,UM,50.5,2.0,4.4,5.4,270.9,5.9,685.7,141.5,7.05,-20.40,-157.85,,2.6,0.4
2019-09-06,UM,47.7,1.7,4.5,5.7,243.6,5.4,611.1,142.3,7.08,-20.98,-158.67,,2.9,0.7
2019-10-08,UM,49.2,1.9,4.7,5.3,257.7,5.6,652.5,143.9,7.04,-20.82,-158.98,,2.9,0.7
2019-11-07,UM,46.6,1.8,4.2,5.3,250.4,5.8,668.6,144.1,7.07,-20.81,-158.74,,2.4,0.6
2019-12-05,UM,48.7,1.9,4.8,5.7,260.1,5.9,695.4,138.2,7.16,-20.92,-159.00,,1.6,0.7
2020-01-21,UM,50.8,2.0,4.7,6.0,275.9,6.2,706.1,141.4,7.21,-20.92,-158.91,,1.3,0.3
2020-02-06,UM,52.0,2.1,4.7,6.2,282.8,6.3,715.2,143.4,7.08,-20.84,-158.80,,1.6,0.6
2020-03-05,UM,51.4,2.1,4.8,6.1,277.3,6.4,717.2,147.1,7.31,-20.71,-158.63,,,
2019-04-08,LM,48.6,1.8,4.9,6.6,265.4,6.3,724.0,146.4,7.31,-20.61,-159.07,,,
2019-05-07,LM,53.6,2.0,4.8,5.9,275.7,6.2,722.4,144.5,7.77,-21.02,-159.69,,,
2019-06-05,LM,51.3,2.1,4.3,6.8,276.2,6.1,678.9,141.0,7.91,-20.63,-158.82,,,
2019-07-12,LM,56.3,2.2,6.5,8.2,268.2,5.6,679.9,149.2,7.75,-21.02,-159.53,,,
2019-08-07,LM,52.3,2.1,4.7,6.5,278.8,6.0,687.4,141.4,7.70,-20.55,-158.33,,,
2019-09-06,LM,49.0,1.7,4.3,5.5,247.5,5.3,637.2,147.1,7.88,-20.86,-158.99,,,
2019-10-08,LM,47.3,1.8,4.3,5.9,252.6,5.6,654.6,144.1,7.84,-20.47,-158.16,,,
2019-11-07,LM,46.4,1.8,4.0,5.6,245.3,5.7,671.6,142.2,7.80,-20.59,-158.42,,,
2019-12-05,LM,48.0,1.9,4.1,5.9,259.4,6.0,690.0,141.8,7.84,-20.80,-158.91,,,
2020-01-21,LM,50.4,2.0,4.9,6.4,274.2,6.3,710.5,140.0,7.85,-20.80,-159.16,,0.8,0.3
2020-02-06,LM,51.6,2.1,4.5,6.5,279.1,6.3,721.6,141.0,7.79,-20.65,-158.68,,,
2020-03-05,LM,50.2,2.0,4.8,6.3,276.5,6.4,725.7,140.8,7.63,-20.89,-159.24,,,
2019-04-08,UC,45.7,1.7,4.2,6.0,244.1,5.6,650.2,170.8,7.20,-20.54,-158.30,,,
2019-05-07,UC,48.3,1.8,4.3,5.0,258.2,6.3,645.1,141.8,7.77,-20.55,-158.73,,,
2019-06-05,UC,47.5,1.7,3.7,5.7,230.7,4.8,595.9,150.7,7.04,-21.74,-159.11,,2.0,0.7
2019-07-12,UC,46.0,1.6,3.7,4.8,232.2,5.2,582.2,149.3,7.10,-20.63,-158.65,,3.3,0.7
2019-08-07,UC,48.0,1.8,4.2,5.8,256.1,5.4,625.1,144.7,7.06,-21.71,-158.67,,1.8,0.6
2019-09-06,UC,45.2,1.5,3.5,4.2,221.3,4.9,542.0,151.2,7.11,-20.55,-158.19,,1.5,0.6
2019-10-08,UC,45.1,1.7,4.2,5.5,238.3,5.0,593.6,150.8,7.04,-21.33,-158.74,,,
2019-11-07,UC,44.6,1.7,3.6,5.3,235.8,5.3,615.6,145.7,7.08,-21.51,-159.24,,2.3,0.7
2019-12-05,UC,46.5,1.8,4.3,5.6,247.7,5.5,627.4,144.1,7.12,-21.47,-159.15,,,
2020-01-21,UC,49.0,1.9,4.0,5.8,263.7,5.7,655.9,150.9,7.16,-21.45,-159.25,,2.2,0.3
2020-02-06,UC,49.0,1.9,4.5,5.8,258.9,5.9,661.3,148.5,7.03,-21.47,-159.36,,,
2020-03-05,UC,48.1,1.9,4.3,5.8,258.2,6.1,671.7,150.1,7.09,-21.50,-159.28,,,
2019-04-08,CP,46.1,1.7,4.6,6.0,243.4,5.6,665.1,158.6,7.44,-20.36,-157.85,,,
2019-05-07,CP,52.1,1.8,4.2,5.1,259.2,5.9,658.4,141.1,7.82,-20.80,-158.78,,,
2019-06-05,CP,48.7,1.8,3.9,5.4,249.9,5.3,602.0,142.5,7.19,-20.52,-157.77,,,
2019-07-12,CP,49.5,1.7,4.2,5.2,238.6,5.2,584.8,138.4,7.33,-20.63,-158.09,,,
2019-08-07,CP,47.4,1.8,4.3,5.8,247.8,5.3,625.9,144.4,7.30,-20.67,-158.13,,,
2019-09-06,CP,47.1,1.6,4.0,4.9,220.7,4.9,564.9,150.1,7.31,-20.46,-157.48,,,
2019-10-08,CP,45.0,1.7,3.6,5.3,234.2,5.1,601.6,145.6,7.32,-20.81,-158.09,,,
2019-11-07,CP,46.9,1.8,4.4,5.6,250.2,5.3,621.4,142.4,7.37,-20.34,-157.24,,,
2019-12-05,CP,48.9,1.8,4.2,5.9,258.7,5.4,633.1,143.1,7.41,-21.47,-158.67,,,
2020-01-21,CP,47.5,1.8,4.1,6.0,252.8,5.7,654.1,142.0,7.41,-21.62,-159.30,,1.5,0.3
2020-02-06,CP,49.2,1.9,4.3,5.9,260.0,5.8,665.3,142.3,7.19,-21.41,-159.13,,,
2020-03-05,CP,49.1,1.9,4.2,6.0,261.5,5.8,670.7,142.8,7.29,-21.49,-159.12,,,
2019-04-08,BA,75.8,3.1,6.3,7.4,406.1,6.1,1171.2,164.7,7.24,-20.49,-158.80,,,
2019-05-07,BA,81.6,3.3,11.8,10.8,410.1,5.9,1095.1,145.5,7.77,-20.60,-159.13,,,
2019-06-05,BA,81.8,3.4,6.1,7.5,401.0,5.2,1123.7,137.7,6.95,-21.18,-159.27,,1.9,0.3
2019-07-12,BA,80.7,3.2,6.3,7.0,392.2,5.8,1065.9,142.2,7.06,-20.59,-158.92,,2.0,0.6
2019-08-07,BA,77.1,3.4,6.5,7.0,415.1,5.8,1158.6,145.1,7.04,-21.26,-159.25,,1.9,0.3
2019-09-06,BA,78.7,3.1,6.3,7.1,372.7,5.4,1048.0,154.2,7.09,-20.63,-158.87,,1.1,0.6
2019-10-08,BA,80.6,3.6,6.7,7.4,438.1,5.6,1147.8,148.4,7.07,-21.41,-159.60,,1.7,0.5
2019-11-07,BA,76.6,3.4,6.1,7.5,423.2,5.7,1165.2,141.8,7.17,-21.38,-159.49,,1.7,0.7
2019-12-05,BA,78.2,3.4,5.9,7.5,422.0,5.8,1161.9,149.3,7.25,-21.40,-159.92,,1.4,0.6
2020-01-21,BA,79.6,3.5,6.0,7.6,428.0,6.0,1174.0,151.4,7.25,-21.44,-159.84,,0.8,0.3
2020-02-06,BA,79.4,3.5,6.4,7.6,429.3,6.0,1178.0,152.5,7.14,-21.41,-159.83,,,
