Date,UH Flow (L/s),UH Temp (C),SO4 (mg/l),UM Flow (L/s),CB Total Flow (L/s)
2017-04-13,--,--,--,6.57,29.4
2017-04-26,--,--,--,6.99,28.7
2017-05-11,--,25.3,196.1,10.9,30
2017-05-24,--,36,479.8,10.5,30.6
2017-06-07,10.3,41.4,523.9,10.4,28
2017-06-21,--,41.5,528.8,10.2,32.2
2017-07-06,11.2,43,553.4,8.99,34.9
2017-07-19,--,44.8,603,8.34,33.6
2017-08-02,11.1,45.5,605.7,8.66,30.3
2017-08-17,11.6,45.9,611.9,8.18,31.3
2017-08-17,11.6,45.9,608.1,8.18,31.3
2017-08-30,11,46,--,8.18,31.4
2017-09-15,9.18,45.1,597.3,7.13,29.9
2017-09-26,8.5,45.9,--,7.72,28.8
2017-10-13,6.89,45.8,608.6,7.57,27.9
2017-11-10,5.14,44.9,615.4,7.28,27.8
2017-11-23,5.85,44.9,571.3,7.72,31
2017-12-05,2.93,43.2,618.8,7.43,31.2
2017-12-20,2.35,42.6,618.6,7.43,29.7
2018-01-04,1.49,--,621.8,7.72,28.5
2018-01-18,1.22,40,616.9,6.99,29
2018-02-02,0.44,35.5,620.1,7.43,30.5
2018-02-13,--,24.1,652.1,7.72,28.8
2018-03-01,--,--,--,7.13,30.6
2018-03-16,--,--,--,6.85,30.6
2018-03-27,--,--,--,6.85,31.4
2018-04-16,--,--,--,7.13,31
2018-05-03,0.24,27.8,391.7,7.28,29.3
2018-05-17,--,--,423.8,--,--
2018-05-18,8.91,33.8,--,10.5,32.9
2018-05-31,11.3,37.6,462.3,9.15,33.4
2018-06-11,12.2,39.4,493.9,8.82,31.6
2018-06-26,12.9,39.3,479.6,8.82,31.1
2018-07-12,11.5,43.2,563.3,9.32,31.2
2018-07-25,11,44.7,588.9,9.49,31.3
2018-08-07,10,45.6,599.3,9.49,35
2018-08-15,9.65,45.6,603.4,9.84,33.6
2018-08-29,8.64,46,611.8,9.66,32.8
2018-09-13,6.86,45.8,614.3,9.33,32.2
2018-09-28,6.34,44.8,613.2,8.99,32.9
2018-10-16,5.14,44.6,--,9.15,29.9
2018-10-30,4.37,44.6,618.9,9.49,28.4
2018-11-13,3.44,44.3,622.3,10.2,28.6
2018-11-27,2.84,43.5,622.7,9.49,29.1
2018-12-13,1.8,41.4,623.6,8.82,30.8
2019-01-03,1.08,39.4,623.1,9.15,32
2019-01-16,0.42,35.7,623.1,8.5,33.6
2019-01-29,--,--,--,8.82,26.1
2019-02-15,--,--,--,7.28,14.3
2019-02-27,--,--,--,6.71,22.9
2019-03-15,--,--,--,6.71,23.6
2019-03-29,--,--,--,6.85,26.8
2019-04-12,--,--,--,6.99,21.6
2019-04-26,--,--,--,6.85,21.3
2019-05-07,--,--,--,7.13,21.9
2019-05-23,0.63,29.1,--,8.66,24.9
2019-06-05,--,27.7,345.2,8.66,22.8
2019-06-20,6.96,35.9,--,7.72,26.2
2019-07-12,11.4,38.1,516.5,8.82,31.4
2019-07-24,11.2,41.5,--,8.66,29.6
2019-08-07,8.65,--,613.2,8.82,27.3
2019-08-09,--,43.6,--,8.89,27
2019-08-21,12.3,41.8,--,9.32,28.5
2019-09-06,12.5,40,541.3,8.82,27.6
2019-09-16,11,43.2,--,7.28,28.5
2019-10-10,9.2,43.8,627.1,7.72,30.3
2019-10-22,--,44.8,--,7.88,30.8
2019-11-07,6.79,44.8,682.5,7.43,31.3
2019-11-21,6.13,44.5,--,7.72,48.1
2019-12-05,4.85,43.8,692.6,7.43,55.6
2019-12-19,3.93,43.4,--,7.35,55.7
2020-01-10,2.56,42,--,6.57,53.6
2020-01-21,1.97,41.2,701.9,6.3,42.6
2020-02-06,1.23,39.6,698.4,6.71,32.4
2020-02-21,0.63,36.4,--,6.71,32.3
2020-03-05,--,--,703.5,--,--
2020-03-19,--,--,--,6.44,26.1
